origin,seasonal_empirical,seasonal_naive,catboost_round1,hours,catboost_minus_empirical,catboost_minus_naive
2009-01-01,13.90554752,18.41518817,11.81164308,744,-2.09390444,-6.60354509
2009-02-01,11.28038276,20.93973214,11.51160107,672,0.2312183109,-9.428131069
2009-03-01,10.38357876,16.11102151,10.48537004,744,0.1017912833,-5.625651467
2009-04-01,4.785073425,6.328333333,5.572565196,720,0.7874917712,-0.7557681368
2009-05-01,7.013305197,9.106653226,4.459160956,744,-2.554144241,-4.64749227
2009-06-01,6.703083345,16.61555556,6.240260153,720,-0.4628231919,-10.37529541
2009-07-01,5.975841871,10.68252688,6.076684596,744,0.1008427251,-4.605842284
2009-08-01,7.355061265,12.52688172,7.459631015,744,0.1045697501,-5.067250705
2009-09-01,5.693610333,13.55451389,7.103487718,720,1.409877385,-6.451026172
2009-10-01,4.414959951,8.515120968,4.499601984,744,0.08464203332,-4.015518984
2009-11-01,4.959250238,16.43222222,7.506800235,720,2.547549997,-8.925421985
2009-12-01,11.0412067,21.61700269,10.83831647,744,-0.2028902262,-10.77868622
2010-01-01,21.02048069,30.24294355,18.77942754,744,-2.241053146,-11.46351601
2010-02-01,13.85334823,25.05037202,9.072292022,672,-4.781056208,-15.97808
2010-03-01,6.757414947,13.94805108,8.822023205,744,2.064608258,-5.126027875
2010-04-01,3.642027459,8.208958333,4.141021084,720,0.4989936249,-4.067937249
2010-05-01,7.10266967,8.512298387,5.816528824,744,-1.286140846,-2.695769563
2010-06-01,13.70310638,17.3925,10.15758459,720,-3.545521795,-7.234915415
2010-07-01,10.77537067,19.38313172,8.918004246,744,-1.857366424,-10.46512747
2010-08-01,6.574447448,10.80826613,6.02636871,744,-0.5480787379,-4.78189742
2010-09-01,7.706400278,10.39180556,6.494912169,720,-1.211488109,-3.896893391
2010-10-01,3.510557406,7.185013441,4.998181016,744,1.48762361,-2.186832425
2010-11-01,5.645941032,8.204583333,5.583674721,720,-0.06226631054,-2.620908612
2010-12-01,21.20801128,24.7875672,18.71385705,744,-2.494154226,-6.073710146
