origin,hours,catboost_round2,catboost_round1,seasonal_empirical,seasonal_naive,round2_minus_catboost_round1,round2_minus_seasonal_empirical,round2_minus_seasonal_naive
2010-01-01,744,16.42239127,18.77942754,21.02048069,30.24294355,-2.357036273,-4.598089419,-13.82055228
2010-02-01,672,8.179364459,9.072292022,13.85334823,25.05037202,-0.8929275629,-5.673983771,-16.87100756
2010-03-01,744,8.231566444,8.822023205,6.757414947,13.94805108,-0.5904567609,1.474151497,-5.716484636
2010-04-01,720,3.640643091,4.141021084,3.642027459,8.208958333,-0.5003779934,-0.00138436845,-4.568315242
2010-05-01,744,6.041227989,5.816528824,7.10266967,8.512298387,0.2246991647,-1.061441681,-2.471070398
2010-06-01,720,8.875844948,10.15758459,13.70310638,17.3925,-1.281739638,-4.827261432,-8.516655052
2010-07-01,744,8.757176287,8.918004246,10.77537067,19.38313172,-0.160827959,-2.018194383,-10.62595543
2010-08-01,744,6.039213945,6.02636871,6.574447448,10.80826613,0.01284523481,-0.5352335031,-4.769052185
2010-09-01,720,6.424925948,6.494912169,7.706400278,10.39180556,-0.06998622112,-1.28147433,-3.966879612
2010-10-01,744,4.020082471,4.998181016,3.510557406,7.185013441,-0.9780985449,0.5095250647,-3.16493097
2010-11-01,720,5.830289757,5.583674721,5.645941032,8.204583333,0.2466150355,0.184348725,-2.374293576
2010-12-01,744,17.70938512,18.71385705,21.20801128,24.7875672,-1.004471932,-3.498626158,-7.078182078
