depth,l2_leaf_reg,candidate,learning_rate,iterations,folds,forecast_hours,pinball_loss,baseline_pinball_loss,pinball_difference,relative_improvement,fold_pinball_mean,fold_pinball_std,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings,fit_seconds
3,1,depth3_lr0p08_l21_trees125,0.08,125,12,8760,8.374550335,10.12119321,-1.746642871,0.1725728218,8.349134139,4.414263603,22.94543494,3.997247762,0.8191780822,80.66830838,0,0.1350427102,2453,114.9439698
3,5,depth3_lr0p08_l25_trees125,0.08,125,12,8760,8.372673059,10.12119321,-1.748520148,0.1727583015,8.347675977,4.419977507,22.99749977,4.358412616,0.8182648402,80.95622411,0,0.1335349384,2849,114.9422897
3,20,depth3_lr0p08_l220_trees125,0.08,125,12,8760,8.460652039,10.12119321,-1.660541168,0.1640657513,8.43789922,4.430532567,23.19830174,4.238373812,0.8139269406,80.43980516,0,0.1386283843,2061,114.2750808
4,1,depth4_lr0p08_l21_trees100,0.08,100,12,8760,8.560404468,10.12119321,-1.560788739,0.154209954,8.537934799,4.618753492,23.44979254,5.768251611,0.7865296804,76.91332835,0,0.137049352,2304,131.7741438
4,5,depth4_lr0p08_l25_trees100,0.08,100,12,8760,8.393391966,10.12119321,-1.727801241,0.1707112201,8.368379832,4.532611831,23.01170721,5.690196637,0.7992009132,77.52218157,0,0.1249907753,1945,132.5988503
4,20,depth4_lr0p08_l220_trees75,0.08,75,12,8760,8.406548206,10.12119321,-1.714645,0.1694113496,8.388239487,4.473721983,23.21132907,6.948957323,0.8309360731,80.82824016,0,0.123798441,1225,130.2365887
5,1,depth5_lr0p08_l21_trees75,0.08,75,12,8760,8.582077649,10.12119321,-1.539115558,0.1520685878,8.558026454,4.769531886,23.59072566,5.465274957,0.7836757991,77.07926917,0,0.136231124,2367,149.9248368
5,5,depth5_lr0p08_l25_trees75,0.08,75,12,8760,8.612339339,10.12119321,-1.508853867,0.1490786547,8.583215362,4.572925344,23.56006404,4.183070306,0.7880136986,76.988618,0,0.1413024768,878,148.5873996
5,20,depth5_lr0p08_l220_trees75,0.08,75,12,8760,8.618200067,10.12119321,-1.502993139,0.1484995996,8.592592176,4.877365998,23.52014076,5.309354032,0.7858447489,77.38006766,0,0.1352984641,758,147.3865325
