candidate,depth,learning_rate,l2_leaf_reg,iterations,folds,forecast_hours,pinball_loss,baseline_pinball_loss,pinball_difference,relative_improvement,fold_pinball_mean,fold_pinball_std,median_mae,median_bias,coverage_90,mean_width_90,invalid_90_intervals,mean_absolute_calibration_error,quantile_crossings,fit_seconds
depth4_lr0p04_l25_trees250,4,0.04,5,250,24,17520,8.38247526517,8.95491958499,-0.572444319819,0.0639251212014,8.37870823752,3.93116925857,23.1679996105,6.03450143317,0.767351598173,70.0252472798,0,0.145674277017,2155,1759.00156409
depth4_lr0p08_l25_trees125,4,0.08,5,125,24,17520,8.40329934097,8.95491958499,-0.55162024402,0.0615996870529,8.3952129519,3.98223066571,23.2320068789,5.54605632069,0.776883561644,70.5646191062,0,0.144068816014,3384,858.749747333
depth4_lr0p04_l25_trees375,4,0.04,5,375,24,17520,8.60291618192,8.95491958499,-0.352003403073,0.0393083823626,8.60009178253,4.12118417757,23.4229215371,5.89493156601,0.715867579909,64.6287351778,0,0.153207923989,8206,1759.00156409
depth4_lr0p08_l25_trees188,4,0.08,5,188,24,17520,8.60642396215,8.95491958499,-0.348495622839,0.0389166669261,8.59709890853,4.31282078475,23.4450407649,5.63119479375,0.729394977169,65.2430921141,0,0.15138572944,13088,858.749747333
depth4_lr0p08_l25_trees250,4,0.08,5,250,24,17520,8.73560657575,8.95491958499,-0.21931300924,0.0244907848874,8.72525410838,4.55768810056,23.5419540479,5.51747305782,0.695662100457,61.1154971477,0,0.156449356579,27104,858.749747333
depth6_lr0p04_l25_trees250,6,0.04,5,250,24,17520,8.73759710753,8.95491958499,-0.217322477463,0.0242685012858,8.74028826402,4.30744995819,23.5325687871,7.07351377703,0.673915525114,59.5026511864,0,0.161357271344,18577,2570.31511404
depth4_lr0p04_l25_trees500,4,0.04,5,500,24,17520,8.86974112304,8.95491958499,-0.0851784619562,0.00951191813034,8.86522036657,4.54194351832,23.8199894048,6.15836157498,0.677682648402,60.3754492848,0,0.161186199899,19166,1759.00156409
depth6_lr0p08_l25_trees125,6,0.08,5,125,24,17520,8.92624415439,8.95491958499,-0.0286754306013,0.00320219856015,8.92960064871,4.34032792913,24.0804889722,6.19102261471,0.67100456621,59.7527160133,0,0.168027904617,47718,1270.1081645
depth8_lr0p04_l25_trees250,8,0.04,5,250,24,17520,9.07763005904,8.95491958499,0.122710474044,-0.0137031352297,9.07355446963,4.47445418445,23.8575316155,6.33805378498,0.577054794521,50.161683609,0,0.178110303953,95049,4548.90987342
depth6_lr0p04_l25_trees375,6,0.04,5,375,24,17520,9.08280781567,8.95491958499,0.127888230673,-0.0142813377003,9.08507568601,4.67947972509,23.7890515566,7.0501784807,0.603538812785,52.5311931932,1,0.17318705318,53338,2570.31511404
depth6_lr0p08_l25_trees188,6,0.08,5,188,24,17520,9.296063782,8.95491958499,0.341144197004,-0.0380957298126,9.29919777454,4.79234210899,24.334631473,5.9820654326,0.592351598174,52.0840043759,17,0.179060098704,112083,1270.1081645
depth6_lr0p04_l25_trees500,6,0.04,5,500,24,17520,9.35023310614,8.95491958499,0.395313521151,-0.0441448432226,9.35229401687,4.89262145033,23.9570233197,6.99442400968,0.55051369863,47.6488295143,12,0.182612379503,97887,2570.31511404
depth8_lr0p08_l25_trees125,8,0.08,5,125,24,17520,9.35095892426,8.95491958499,0.396039339265,-0.0442258956662,9.35692691629,4.81881483491,24.4034927684,7.62146443752,0.591038812785,50.8142483414,3,0.18204607721,188914,2252.92269679
depth8_lr0p04_l25_trees375,8,0.04,5,375,24,17520,9.5066908674,8.95491958499,0.551771282406,-0.0616165535792,9.50277719961,4.68845122458,24.0923876974,6.21132304332,0.483447488584,41.9398927519,24,0.195406508002,209020,4548.90987342
depth6_lr0p08_l25_trees250,6,0.08,5,250,24,17520,9.55204420765,8.95491958499,0.597124622654,-0.0666811820013,9.55477969599,4.99597014556,24.484531493,5.84665380767,0.539783105023,46.8447464471,36,0.190113947696,179320,1270.1081645
depth8_lr0p08_l25_trees188,8,0.08,5,188,24,17520,9.82399243536,8.95491958499,0.869072850369,-0.0970497660107,9.82977983203,5.07383078832,24.6633369798,7.33242137796,0.49600456621,42.4471384265,101,0.197556777824,325045,2252.92269679
depth8_lr0p04_l25_trees500,8,0.04,5,500,24,17520,9.87468954082,8.95491958499,0.919769955827,-0.102711135158,9.86985162422,4.88830782141,24.290927887,6.08571417407,0.412385844749,35.9034062449,130,0.209758544348,318109,4548.90987342
depth8_lr0p08_l25_trees250,8,0.08,5,250,24,17520,10.1705338316,8.95491958499,1.21561424665,-0.135748203556,10.1770260678,5.28012395281,24.8787277042,7.27308846392,0.43595890411,36.8201790253,266,0.20864997002,426332,2252.92269679
