timestamp,period_start,load,load_change,absolute_load_change,temperature
2006-10-03 17:00:00,2006-10-03 16:00:00,139.400000,52.200000,52.200000,79.120000
2010-08-30 13:00:00,2010-08-30 12:00:00,219.800000,47.900000,47.900000,88.160000
2009-03-04 09:00:00,2009-03-04 08:00:00,238.700000,-41.300000,41.300000,29.880000
2005-12-21 18:00:00,2005-12-21 17:00:00,197.100000,40.900000,40.900000,34.880000
2010-12-09 18:00:00,2010-12-09 17:00:00,222.400000,40.900000,40.900000,31.920000
2009-02-24 19:00:00,2009-02-24 18:00:00,197.600000,39.100000,39.100000,36.080000
2009-03-05 09:00:00,2009-03-05 08:00:00,200.300000,-38.700000,38.700000,39.560000
2005-12-13 18:00:00,2005-12-13 17:00:00,209.800000,38.600000,38.600000,35.280000
2005-12-20 18:00:00,2005-12-20 17:00:00,188.900000,38.600000,38.600000,36.960000
2007-12-17 18:00:00,2007-12-17 17:00:00,197.600000,38.600000,38.600000,36.600000
2008-12-03 18:00:00,2008-12-03 17:00:00,178.900000,38.200000,38.200000,41.600000
2005-12-22 18:00:00,2005-12-22 17:00:00,178.400000,37.900000,37.900000,38.000000
2009-12-17 18:00:00,2009-12-17 17:00:00,196.900000,37.900000,37.900000,38.240000
2010-06-06 17:00:00,2010-06-06 16:00:00,267.300000,37.900000,37.900000,88.880000
2009-03-04 19:00:00,2009-03-04 18:00:00,196.700000,37.900000,37.900000,37.320000
2009-01-15 18:00:00,2009-01-15 17:00:00,203.200000,37.800000,37.800000,34.240000
2010-12-15 18:00:00,2010-12-15 17:00:00,250.300000,37.400000,37.400000,29.040000
2011-01-03 18:00:00,2011-01-03 17:00:00,198.700000,37.400000,37.400000,35.880000
2009-02-17 19:00:00,2009-02-17 18:00:00,186.800000,36.900000,36.900000,38.000000
2009-12-16 18:00:00,2009-12-16 17:00:00,189.500000,36.900000,36.900000,39.480000
