task_id,aggregate_temperature_mae,aggregate_temperature_rmse,aggregate_temperature_bias,aggregate_temperature_correlation,station_level_temperature_mae
1,8.575538,10.599939,1.318226,0.378663,9.340376
2,7.003222,8.628605,-2.979222,0.533635,7.972444
3,10.960000,13.765914,-8.158172,0.087331,11.497957
4,9.257419,11.810874,-0.460215,0.321411,9.791613
5,11.324821,14.111373,9.344464,0.429380,12.112083
6,8.778656,10.910191,-0.111774,0.409279,9.682204
7,9.345833,11.526018,0.415944,0.344129,10.251167
8,7.024677,8.518885,-1.773710,0.536116,8.018978
9,4.252611,5.196291,-1.690389,0.738051,5.382944
10,4.385968,5.476453,0.384785,0.693929,5.355645
11,3.878280,4.668376,-0.511290,0.751185,4.766129
12,5.737722,7.803734,-2.580722,0.505124,6.867056
13,7.047581,8.578675,-3.209731,0.666085,7.651559
14,8.426611,10.778430,2.668944,0.447935,9.281722
15,15.156452,17.970954,14.081828,0.211509,15.490538
